kpom,original
Abilene Christian,Abl Christian
Air Force,Air Force
Akron,Akron
Alabama,Alabama
Alabama A&M,Alab A&M
Alabama St,Alabama St
Albany,Albany
Alcorn St,Alcorn State
American,American
Appalachian St,App State
Arizona,Arizona
Arizona St,Arizona St
Arkansas,Arkansas
Arkansas Pine Bluff,Ark Pine Bl
Arkansas St,Arkansas St
Army,Army
Auburn,Auburn
Austin Peay,Austin Peay
Ball St,Ball State
Baylor,Baylor
Belmont,Belmont
Bethune Cookman,Beth-Cook
Binghamton,Binghamton
Boise St,Boise State
Boston College,Boston Col
Boston University,Boston U
Bowling Green,Bowling Grn
Bradley,Bradley
Brown,Brown
Bryant,Bryant
Bucknell,Bucknell
Buffalo,Buffalo
Butler,Butler
BYU,BYU
Cal Baptist,California Baptist
Cal Poly,Cal Poly
Cal St Bakersfield,CS Bakersfld
Cal St Fullerton,CS Fullerton
Cal St Northridge,Cal St Nrdge
California,California
Campbell,Campbell
Canisius,Canisius
Central Arkansas,Central Ark
Central Connecticut,Central Conn
Central Michigan,Central Mich
Charleston,Col Charlestn
Charleston Southern,Charl South
Charlotte,Charlotte
Chattanooga,Chattanooga
Chicago St,Chicago St
Cincinnati,Cincinnati
Clemson,Clemson
Cleveland St,Cleveland St
Coastal Carolina,Coastal Car
Colgate,Colgate
Colorado,Colorado
Colorado St,Colorado St
Columbia,Columbia
Connecticut,Connecticut
Coppin St,Coppin State
Cornell,Cornell
Creighton,Creighton
Dartmouth,Dartmouth
Davidson,Davidson
Dayton,Dayton
Delaware,Delaware
Delaware St,Delaware St
Denver,Denver
DePaul,DePaul
Detroit,Detroit
Drake,Drake
Drexel,Drexel
Duke,Duke
Duquesne,Duquesne
East Carolina,E Carolina
East Tennessee St,E Tenn St
Eastern Illinois,E Illinois
Eastern Kentucky,E Kentucky
Eastern Michigan,E Michigan
Eastern Washington,E Washingtn
Elon,Elon
Evansville,Evansville
Fairfield,Fairfield
Fairleigh Dickinson,F Dickinson
FIU,Florida Intl
Florida,Florida
Florida A&M,Florida A&M
Florida Atlantic,Fla Atlantic
Florida Gulf Coast,Fla Gulf Cst
Florida St,Florida St
Fordham,Fordham
Fresno St,Fresno St
Furman,Furman
Gardner Webb,Gard-Webb
George Mason,Geo Mason
George Washington,Geo Wshgtn
Georgetown,Georgetown
Georgia,Georgia
Georgia Southern,GA Southern
Georgia St,Georgia St
Georgia Tech,GA Tech
Gonzaga,Gonzaga
Grambling St,Grambling St
Grand Canyon,Grd Canyon
Green Bay,WI-Grn Bay
Hampton,Hampton
Hartford,Hartford
Harvard,Harvard
Hawaii,Hawaii
High Point,High Point
Hofstra,Hofstra
Holy Cross,Holy Cross
Houston,Houston
Houston Baptist,Houston Bap
Howard,Howard
Idaho,Idaho
Idaho St,Idaho State
Illinois,Illinois
Illinois Chicago,IL-Chicago
Illinois St,Illinois St
Incarnate Word,Incar Word
Indiana,Indiana
Indiana St,Indiana St
Iona,Iona
Iowa,Iowa
Iowa St,Iowa State
IUPUI,IUPUI
Jackson St,Jackson St
Jacksonville,Jacksonville
Jacksonville St,Jksnville St
James Madison,James Mad
Kansas,Kansas
Kansas St,Kansas St
Kennesaw St,Kennesaw St
Kent St,Kent State
Kentucky,Kentucky
La Salle,La Salle
Lafayette,Lafayette
Lamar,Lamar
Lehigh,Lehigh
Liberty,Liberty
Lipscomb,Lipscomb
Little Rock,AR Lit Rock
LIU Brooklyn,LIU-Brooklyn
Long Beach St,Lg Beach St
Longwood,Longwood
Louisiana,LA Lafayette
Louisiana Monroe,LA Monroe
Louisiana Tech,LA Tech
Louisville,Louisville
Loyola Chicago,Loyola-Chi
Loyola Marymount,Loyola Mymt
Loyola MD,Loyola-MD
LSU,LSU
Maine,Maine
Manhattan,Manhattan
Marist,Marist
Marquette,Marquette
Marshall,Marshall
Maryland,Maryland
Maryland Eastern Shore,Maryland ES
Massachusetts,U Mass
McNeese St,McNeese St
Memphis,Memphis
Mercer,Mercer
Miami FL,Miami (FL)
Miami OH,Miami (OH)
Michigan,Michigan
Michigan St,Michigan St
Middle Tennessee,Middle Tenn
Milwaukee,WI-Milwkee
Minnesota,Minnesota
Mississippi,Mississippi
Mississippi St,Miss State
Mississippi Valley St,Miss Val St
Missouri,Missouri
Missouri St,Missouri St
Monmouth,Monmouth
Montana,Montana
Montana St,Montana St
Morehead St,Morehead St
Morgan St,Morgan St
Mount St Mary's,Mt St Marys
Murray St,Murray St
Navy,Navy
Nebraska,Nebraska
Nebraska Omaha,Neb Omaha
Nevada,Nevada
New Hampshire,N Hampshire
New Mexico,New Mexico
New Mexico St,N Mex State
New Orleans,New Orleans
Niagara,Niagara
Nicholls St,Nicholls St
NJIT,NJIT
Norfolk St,Norfolk St
North Alabama,North Alabama
North Carolina,N Carolina
North Carolina A&T,NC A&T
North Carolina Central,NC Central
North Carolina St,NC State
North Dakota,North Dakota
North Dakota St,N Dakota St
North Florida,N Florida
North Texas,North Texas
Northeastern,Northeastrn
Northern Arizona,N Arizona
Northern Colorado,N Colorado
Northern Illinois,N Illinois
Northern Iowa,N Iowa
Northern Kentucky,N Kentucky
Northwestern,Northwestern
Northwestern St,NW State
Notre Dame,Notre Dame
Oakland,Oakland
Ohio,Ohio
Ohio St,Ohio State
Oklahoma,Oklahoma
Oklahoma St,Oklahoma St
Old Dominion,Old Dominion
Oral Roberts,Oral Roberts
Oregon,Oregon
Oregon St,Oregon St
Pacific,Pacific
Penn,U Penn
Penn St,Penn State
Pepperdine,Pepperdine
Pittsburgh,Pittsburgh
Portland,Portland
Portland St,Portland St
Prairie View A&M,Prairie View
Presbyterian,Presbyterian
Princeton,Princeton
Providence,Providence
Purdue,Purdue
Purdue Fort Wayne,IPFW
Quinnipiac,Quinnipiac
Radford,Radford
Rhode Island,Rhode Island
Rice,Rice
Richmond,Richmond
Rider,Rider
Robert Morris,Rob Morris
Rutgers,Rutgers
Sacramento St,Sac State
Sacred Heart,Sacred Hrt
Saint Joseph's,St Josephs
Saint Louis,Saint Louis
Saint Mary's,St Marys
Saint Peter's,St Peters
Sam Houston St,Sam Hous St
Samford,Samford
San Diego,San Diego
San Diego St,San Diego St
San Francisco,San Fransco
San Jose St,San Jose St
Santa Clara,Santa Clara
Savannah St,Savannah St
Seattle,Seattle
Seton Hall,Seton Hall
Siena,Siena
SIU Edwardsville,SIU Edward
SMU,S Methodist
South Alabama,S Alabama
South Carolina,S Carolina
South Carolina St,S Car State
South Dakota,South Dakota
South Dakota St,S Dakota St
South Florida,S Florida
Southeast Missouri St,SE Missouri
Southeastern Louisiana,SE Louisiana
Southern,Southern
Southern Illinois,S Illinois
Southern Miss,S Mississippi
Southern Utah,S Utah
St Bonaventure,St Bonavent
St Francis NY,St Fran (NY)
St Francis PA,St Fran (PA)
St John's,St Johns
Stanford,Stanford
Stephen F Austin,Ste F Austin
Stetson,Stetson
Stony Brook,Stony Brook
Syracuse,Syracuse
TCU,TX Christian
Temple,Temple
Tennessee,Tennessee
Tennessee Martin,TN Martin
Tennessee St,TN State
Tennessee Tech,TN Tech
Texas,Texas
Texas A&M,Texas A&M
Texas A&M Corpus Chris,TX A&M-CC
Texas Southern,TX Southern
Texas St,Texas State
Texas Tech,Texas Tech
The Citadel,Citadel
Toledo,Toledo
Towson,Towson
Troy,Troy
Tulane,Tulane
Tulsa,Tulsa
UAB,UAB
UC Davis,UC Davis
UC Irvine,UC Irvine
UC Riverside,UC Riverside
UC Santa Barbara,UCSB
UCF,Central FL
UCLA,UCLA
UMass Lowell,Mass Lowell
UMBC,Maryland BC
UMKC,UMKC
UNC Asheville,NC-Asheville
UNC Greensboro,NC-Grnsboro
UNC Wilmington,NC-Wilmgton
UNLV,UNLV
USC,USC
USC Upstate,SC Upstate
UT Arlington,TX-Arlington
UT Rio Grande Valley,TX-Pan Am
Utah,Utah
Utah St,Utah State
Utah Valley,Utah Val St
UTEP,TX El Paso
UTSA,TX-San Ant
Valparaiso,Valparaiso
Vanderbilt,Vanderbilt
VCU,VCU
Vermont,Vermont
Villanova,Villanova
Virginia,Virginia
Virginia Tech,VA Tech
VMI,VA Military
Wagner,Wagner
Wake Forest,Wake Forest
Washington,Washington
Washington St,Wash State
Weber St,Weber State
West Virginia,W Virginia
Western Carolina,W Carolina
Western Illinois,W Illinois
Western Kentucky,W Kentucky
Western Michigan,W Michigan
Wichita St,Wichita St
William & Mary,Wm & Mary
Winthrop,Winthrop
Wisconsin,Wisconsin
Wofford,Wofford
Wright St,Wright State
Wyoming,Wyoming
Xavier,Xavier
Yale,Yale
Youngstown St,Youngs St
