kpom,massey
Alabama,Alabama
Bethune Cookman,Bethune-Cookman
Boston College,Boston College
Northeastern,Northeastern
Butler,Butler
UCF,UCF
Central Michigan,C Michigan
Charleston,Col Charleston
Cincinnati,Cincinnati
Clemson,Clemson
Coastal Carolina,Coastal Car
Connecticut,Connecticut
The Citadel,Citadel
Davidson,Davidson
Dayton,Dayton
Bowling Green,Bowling Green
Duke,Duke
Miami OH,Miami OH
Furman,Furman
George Washington,G Washington
George Mason,George Mason
Georgia,Georgia
Georgia St,Georgia St
Hartford,Hartford
Harvard,Harvard
Hofstra,Hofstra
Indiana St,Indiana St
Kentucky,Kentucky
Liberty,Liberty
Marshall,Marshall
Massachusetts,Massachusetts
Maryland Eastern Shore,MD E Shore
Miami FL,Miami FL
Michigan St,Michigan St
Monmouth,Monmouth NJ
Navy,Navy
Charlotte,Charlotte
New Hampshire,New Hampshire
North Carolina A&T,NC A&T
North Carolina St,NC State
North Carolina,North Carolina
Oakland,Oakland
Ohio St,Ohio St
Old Dominion,Old Dominion
Penn St,Penn St
Providence,Providence
Purdue,Purdue
Rhode Island,Rhode Island
Delaware,Delaware
Rider,Rider
Rutgers,Rutgers
Seton Hall,Seton Hall
South Florida,South Florida
Niagara,Niagara
St John's,St John's
Syracuse,Syracuse
Maryland,Maryland
Tennessee,Tennessee
VCU,VA Commonwealth
Villanova,Villanova
Virginia,Virginia
Virginia Tech,Virginia Tech
Georgia Southern,Ga Southern
Southern Illinois,S Illinois
South Carolina,South Carolina
Xavier,Xavier
High Point,High Point
Holy Cross,Holy Cross
Albany,Albany NY
Binghamton,Binghamton
Northern Kentucky,N Kentucky
Arkansas,Arkansas
Auburn,Auburn
UAB,UAB
Abilene Christian,Abilene Chr
Baylor,Baylor
Creighton,Creighton
Evansville,Evansville
Houston,Houston
Illinois,Illinois
Illinois Chicago,IL Chicago
Iowa,Iowa
Jackson St,Jackson St
Jacksonville St,Jacksonville St
Kansas,Kansas
Kansas St,Kansas St
Louisiana Tech,Louisiana Tech
Loyola Chicago,Loyola-Chicago
LSU,LSU
Marquette,Marquette
Middle Tennessee,MTSU
Minnesota,Minnesota
Mississippi,Mississippi
Mississippi St,Mississippi St
Missouri,Missouri
Murray St,Murray St
Northwestern,Northwestern
Oklahoma St,Oklahoma St
Oral Roberts,Oral Roberts
Eastern Kentucky,E Kentucky
Southeastern Louisiana,SE Louisiana
SMU,SMU
Saint Louis,St Louis
TCU,TCU
Texas,Texas
Texas Tech,Texas Tech
Tulane,Tulane
Lamar,Lamar
Nicholls St,Nicholls St
Valparaiso,Valparaiso
Vanderbilt,Vanderbilt
Missouri St,Missouri St
Wichita St,Wichita St
Wisconsin,Wisconsin
Lipscomb,Lipscomb
South Dakota St,S Dakota St
Arizona,Arizona
Arizona St,Arizona St
Boise St,Boise St
Colorado,Colorado
Colorado St,Colorado St
Grand Canyon,Grand Canyon
Montana,Montana
Montana St,Montana St
UTEP,UTEP
Utah,Utah
Weber St,Weber St
Wyoming,Wyoming
UC Riverside,UC Riverside
Eastern Washington,E Washington
Gonzaga,Gonzaga
Nevada,Nevada
Cal St Northridge,CS Northridge
